iter	RMSE
0	44925.59817
1	43765.29803
2	42731.85664
3	41882.40708
4	41175.66718
5	40522.1622
6	39835.87376
7	39208.28385
8	38546.6092
9	37924.03037
10	37442.9479
11	37003.10028
12	36578.83537
13	36226.70611
14	35939.0556
15	35653.67571
16	35429.83604
17	35201.38324
18	34982.42347
19	34706.66495
20	34524.78117
21	34222.58073
22	34038.79024
23	33765.78211
24	33578.85439
25	33397.82482
26	33251.14541
27	33002.44495
28	32730.22744
29	32585.64458
30	32451.9792
31	32337.54503
32	32244.21741
33	32151.48089
34	32075.07913
35	31965.26121
36	31819.01224
37	31660.42958
38	31432.83617
39	31430.09102
40	31277.40202
41	31190.95051
42	31015.81954
43	30863.29849
44	30782.96062
45	30673.06392
46	30607.59129
47	30512.42528
48	30386.67108
49	30167.36647
50	30060.72616
51	29979.25842
52	29918.7561
53	29747.33352
54	29659.66673
55	29482.11739
56	29423.9408
57	29313.01133
58	29232.29219
59	29026.06249
60	28926.16819
61	28843.0653
62	28758.87447
63	28719.14023
64	28643.92408
65	28504.18189
66	28501.6929
67	28340.2016
68	28268.16583
69	28236.37668
70	28165.89558
71	28106.92334
72	28028.65176
73	27936.81386
74	27825.30064
75	27714.8088
76	27652.2818
77	27575.87759
78	27357.33675
79	27278.27649
80	27236.11001
81	27156.60721
82	27085.76292
83	26976.36607
84	26924.21668
85	26893.91332
86	26833.7565
87	26714.17168
88	26532.07584
89	26477.26785
90	26445.65942
91	26408.73262
92	26262.29161
93	26198.29983
94	26089.8181
95	25950.93034
96	25869.46637
97	25799.05905
98	25729.54425
99	25628.67457
100	25558.68317
101	25520.56956
102	25402.08227
103	25363.00877
104	25309.3409
105	25243.6721
106	25096.57781
107	25060.15492
108	24942.63844
109	24923.19762
110	24882.02521
111	24814.47772
112	24758.75873
113	24721.61943
114	24693.64646
115	24624.67635
116	24502.10401
117	24418.44671
118	24378.40891
119	24329.33627
120	24274.01603
121	24244.7894
122	24173.50546
123	24110.68105
124	24090.64838
125	24024.541
126	23935.70403
127	23883.70396
128	23860.87398
129	23760.54844
130	23684.78801
131	23637.10212
132	23588.94156
133	23553.37145
134	23504.18185
135	23460.03059
136	23336.42271
137	23291.18785
138	23203.54312
139	23110.06128
140	23107.4339
141	22991.95192
142	22917.54694
143	22862.48904
144	22772.64868
145	22671.2292
146	22628.8259
147	22603.8924
148	22553.55197
149	22511.9667
150	22499.80075
151	22475.39173
152	22434.42254
153	22358.6211
154	22328.54656
155	22250.51743
156	22196.0533
157	22112.75944
158	22101.70481
159	22062.76334
160	22047.44515
161	21990.49119
162	21857.0625
163	21788.44233
164	21743.33671
165	21682.73151
166	21628.90487
167	21599.50382
168	21563.24614
169	21529.184
170	21498.03286
171	21372.83485
172	21342.45345
173	21279.16416
174	21252.4466
175	21216.13901
176	21135.96735
177	21099.19995
178	21042.73144
179	20979.48118
180	20936.68365
181	20887.9033
182	20860.84955
183	20770.91161
184	20760.05932
185	20707.24615
186	20648.62537
187	20583.39316
188	20560.23144
189	20491.62216
190	20450.74816
191	20412.15118
192	20395.29099
193	20346.70165
194	20241.87946
195	20181.39198
196	20063.46548
197	20005.05035
198	19983.97369
199	19981.73265
200	19925.10612
201	19885.55455
202	19808.69295
203	19785.77813
204	19727.89276
205	19690.71561
206	19637.2818
207	19623.3627
